"Produkte_App";"Produkte_Zusammenfassung";"Produktgruppe";"Verpackungseinheit";"Lieferant";"Ort";"EntfernungZwischenhaendler";"Herkunftsgenauigkeit";"Lieferantentyp";"EntfernungKK";"Gesamtentfernung";"n";"turnover2015";"turnover2016";"turnover2017";"avg.turnover"
"Falschbuchung Hanfkoerner";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
"Feigen";"Feigen";"Trockenfrüchte";"12.5";"OBEG";"Türkei";2313,25162679565;3;"Zwischenhaendler";212,62569395508;2525,87732075073;1;NA;NA;NA;NA
"Geschirrspülmittel";"Spülmittel Hand";"Putzequipment";"20";"Sonett";NA;0;NA;"Produzent";115,894966853525;115,894966853525;3;NA;15;20;17,5
"Gruenkern";"Grünkern";"Grundnahrungsmittel";"25";"OBEG";"Nord Baden-Württemberg";88,0573811302204;2;"Zwischenhaendler";212,62569395508;300,6830750853;2;NA;14,308;21,377;17,8425
"Hanfkoerner";"Hanfkörner";"Ölsaaten und Nüsse";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;3;NA;NA;6,18533333333333;6,18533333333333
"Hanfkörner";"Hanfkörner";"Ölsaaten und Nüsse";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;3;NA;NA;6,18533333333333;6,18533333333333
"Hanfkoerner ";"Hanfkörner";"Ölsaaten und Nüsse";"5";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;3;NA;NA;6,18533333333333;6,18533333333333
"Haselnüsse";"Haselnüsse";"Ölsaaten und Nüsse";"25";"Hofgut Unterbach";NA;0;NA;"Erzeuger";99,4243907072954;99,4243907072954;2;NA;10;10;10
"Hirse Gold";"Hirse Gold";"Grundnahrungsmittel";"25";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;8;3,54125;9,2375;2,92125;6,079375
"Hirse gold";"Hirse Gold";"Grundnahrungsmittel";"25";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;8;3,54125;9,2375;2,92125;6,079375
"Honig Frühjahrsblüte Glas";"Honig";"Sonstiges";"10";"Stefan";NA;0;NA;"Erzeuger";9,67804967252907;9,67804967252907;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444
"Honig Schwarzwald Glas";"Honig";"Sonstiges";"10";"Stefan";NA;0;NA;"Erzeuger";9,67804967252907;9,67804967252907;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444
"Honig Sommerblüte Eimer";"Honig";"Sonstiges";"10";"Erik";NA;0;NA;"Erzeuger";3,56355402577734;3,56355402577734;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444
"Kaffee Nepal";"Kaffee Zumba";"Drinks, Säfte, Kaffee";"5";"Elephant Beans";"Ecuador";9863,63627285079;2;"Zwischenhaendler";4,27564270544115;9867,91191555623;4;NA;3,6325;2,6;3,11625
"Korrektur Hanfsamen";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
"Kräuter Der Provence";"Kräuter der Provence";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;0,493;1,064;0,7785
"Kurkuma";"Kurkuma Gemahlen";"Gewürze";"1";"Sahana-Eliya e.V";"Nepal";6738,12305384406;2;"Zwischenhaendler";6,25755619582711;6744,38061003989;4;NA;0,278;0,375;0,3265
"Langkornreis";"Langkornreis Natur";"Grundnahrungsmittel";"25";"OBEG";"Italien";855,694055034801;2;"Zwischenhaendler";212,62569395508;1068,31974898988;10;2,5;9,887;9,0202;9,4536
"Linsen Aa";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
"Linsen Alblinsen";"Linsen Alblinsen";"Hülsenfrüchte";"25";"Albleisa";NA;0;NA;"Erzeuger";130,015523134295;130,015523134295;1;NA;NA;25;25
"Linsen Berglinsen";"Linsen Berglinsen";"Hülsenfrüchte";"25";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;2;NA;NA;29,231;29,231
"Linsen Rot";"Linsen Rot";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;5;5;14,9892;14,776;14,8826
"Linsen Tellerlinsen";"Linsen Tellerlinsen";"Hülsenfrüchte";"25";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;2;NA;NA;29,59;29,59
"Linsen, Berglinsen";"Linsen Berglinsen";"Hülsenfrüchte";"25";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;2;NA;NA;29,231;29,231
"Linsen, Tellerlinsen";"Linsen Tellerlinsen";"Hülsenfrüchte";"25";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;2;NA;NA;29,59;29,59
"Maschinenspülmittel";"Spülmittel Maschine";"Putzequipment";"10";"Sonett";NA;0;NA;"Produzent";115,894966853525;115,894966853525;2;NA;5;5,064;5,032
"Muesli";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
"Nudeln Spaghetti Dinkel";"Spaghetti Dinkel";"Grundnahrungsmittel";"5";"St. Georgener Bauer";NA;NA;NA;NA;NA;NA;2;NA;NA;20;20
"Nudeln Spirelli GEMISCHT";"Nudeln vom Grosshandel";"Grundnahrungsmittel";"5";"Naturata";"Piemont Italien";450,322852443221;2;"Zwischenhaendler";142,914375788986;593,237228232207;8;1,875;15,438125;10,0325;12,7353125
"Nudeln Spirelli Weizen";"Nudeln vom Grosshandel";"Grundnahrungsmittel";"5";"Naturata";"Piemont Italien";450,322852443221;2;"Zwischenhaendler";142,914375788986;593,237228232207;8;1,875;15,438125;10,0325;12,7353125
"Nudeln, Dinkel";"Nudeln Dinkel";"Grundnahrungsmittel";"5";"St. Georgener Bauer";NA;NA;NA;NA;NA;NA;6;NA;NA;7,81266666666667;7,81266666666667
"Nudeln, Dinkel Vollkorn";"Nudeln Dinkel";"Grundnahrungsmittel";"5";"St. Georgener Bauer";NA;NA;NA;NA;NA;NA;6;NA;NA;7,81266666666667;7,81266666666667
"Nudeln, Spirelli Dinkel";"Nudeln Dinkel";"Grundnahrungsmittel";"5";"St. Georgener Bauer";NA;NA;NA;NA;NA;NA;6;NA;NA;7,81266666666667;7,81266666666667
"Oreganum";"Oregano";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;0,5;1,207;0,8535
"Paprikapulver Edelsüss";"Paprika Edelsüß";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;0,5;0,5;0,5
"Passata";"Tomatenpassata";"Sonstiges";"12";"Naturata";"San Giorgio Piacentino, Italien";445,970517784924;1;"Zwischenhaendler";142,914375788986;588,88489357391;6;NA;34;22;28
"Pfeffer";"Pfeffer Schwarz Ganz";"Gewürze";"1";"Sahana-Eliya e.V";"Nepal";6738,12305384406;3;"Zwischenhaendler";6,25755619582711;6744,38061003989;6;0,333333333333333;0,333333333333333;0,484;0,408666666666667
"Pfeffer schwarz";"Pfeffer Schwarz Ganz";"Gewürze";"1";"Sahana-Eliya e.V";"Nepal";6738,12305384406;3;"Zwischenhaendler";6,25755619582711;6744,38061003989;6;0,333333333333333;0,333333333333333;0,484;0,408666666666667
"Reis Bastmati";"Basmati Weiß";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;6,25;11,982;25;18,491
"Reis Langkorn";"Langkornreis Natur";"Grundnahrungsmittel";"25";"OBEG";"Italien";855,694055034801;2;"Zwischenhaendler";212,62569395508;1068,31974898988;10;2,5;9,887;9,0202;9,4536
"Reis Rundkorn Vollkorn";"Rundkornreis";"Grundnahrungsmittel";"25";"OBEG";"Italien";855,694055034801;2;"Zwischenhaendler";212,62569395508;1068,31974898988;6;4,16666666666667;4,6185;13,9746666666667;9,29658333333333
"Saft Traube";"Saft Trauben";"Drinks, Säfte, Kaffee";"6";"Wolfgang Hees";NA;0;NA;"Erzeuger";11,9371259981786;11,9371259981786;2;NA;14,843;9,5;12,1715
"Schokolade Haselnuss";"Schokolade Haselnuss";"Sonstiges";"10";"OBEG";"Türkei";2313,25162679565;3;"Zwischenhaendler";212,62569395508;2525,87732075073;3;NA;NA;16,6666666666667;16,6666666666667
"Schokolade Vollmilch";"Schokolade Haselnuss";"Sonstiges";"10";"OBEG";"Türkei";2313,25162679565;3;"Zwischenhaendler";212,62569395508;2525,87732075073;3;NA;NA;16,6666666666667;16,6666666666667
"Schokolade Nuss";"Schokolade Haselnuss";"Sonstiges";"10";"OBEG";"Türkei";2313,25162679565;3;"Zwischenhaendler";212,62569395508;2525,87732075073;3;NA;NA;16,6666666666667;16,6666666666667
"Schokolade Zartbitter";"Schokolade Zartbitter";"Sonstiges";"10";"OBEG";"Domenikanische Republik";7741,45707780716;3;"Zwischenhaendler";212,62569395508;7954,08277176224;1;NA;NA;50,886;50,886
"Schokomus Sambe";"Samba";"Aufstriche";"8";"Rapunzel";"Türkei";2247,45374723389;3;"Zwischenhaendler";170,424986104297;2417,87873333819;6;1,33333333333333;6,5225;2,66666666666667;4,59458333333333
"Schokomus Zartbitter";"Choco Zartbitter Creme";"Aufstriche";"8";"Rapunzel";"Paraguay";10437,2788577706;3;"Zwischenhaendler";170,424986104297;10607,7038438749;2;NA;NA;7,312;7,312
"Senf Kürbis Ingwer";"Senf Kürbis Ingwer";"Aufstriche";"5";"Hakuma Food";NA;0;NA;"Produzent";4,38459280711293;4,38459280711293;1;NA;NA;4,902;4,902
"Sesam ";"Sesam";"Ölsaaten und Nüsse";"25";"OBEG";"Äthiopien";5282,76359333491;2;"Zwischenhaendler";212,62569395508;5495,38928728999;6;4,21666666666667;4,3985;9,16666666666667;6,78258333333333
"Sesam ungeschält";"Sesam";"Ölsaaten und Nüsse";"25";"OBEG";"Äthiopien";5282,76359333491;2;"Zwischenhaendler";212,62569395508;5495,38928728999;6;4,21666666666667;4,3985;9,16666666666667;6,78258333333333
"Sesammus";"Sesammus";"Aufstriche";"8";"Rapunzel";"Ägypten";2947,69313275129;3;"Zwischenhaendler";170,424986104297;3118,11811885559;2;NA;NA;5;5
"Sonnenblumenöl -HO";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"OBEG";"Nord Baden-Württemberg";88,0573811302204;3;"Zwischenhaendler";212,62569395508;300,6830750853;8;2,5;NA;9,106;9,106
"Sonnenblumenöl Nativ";"Sonnenblumenöl kaltgepresst";"Öl und Essig";"5";"OBEG";"Nord Baden-Württemberg";88,0573811302204;3;"Zwischenhaendler";212,62569395508;300,6830750853;1;NA;NA;44,58;44,58
"Sonnenblumenöl Heiss";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"OBEG";"Nord Baden-Württemberg";88,0573811302204;3;"Zwischenhaendler";212,62569395508;300,6830750853;8;2,5;NA;9,106;9,106
"Sonnenblumenöl Hocherhitzbar";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"OBEG";"Nord Baden-Württemberg";88,0573811302204;3;"Zwischenhaendler";212,62569395508;300,6830750853;8;2,5;NA;9,106;9,106
"Sultaninen";"Sultaninen";"Trockenfrüchte";"12.5";"OBEG";"Iran";4062,97576055501;2;"Zwischenhaendler";212,62569395508;4275,60145451009;6;2,143;6,25;12,5585;9,40425
"Tomaten Im Glas";"Tomaten Ganze Stücke";"Sonstiges";"10";"Querbeet";NA;0;NA;"Erzeuger";12,1844972061387;12,1844972061387;2;NA;NA;56,5;56,5
"Tomaten im Glas";"Tomaten Ganze Stücke";"Sonstiges";"10";"Querbeet";NA;0;NA;"Erzeuger";12,1844972061387;12,1844972061387;2;NA;NA;56,5;56,5
"Tomatenmark EDEN";"Tomatenmark";"Sonstiges";"12";"Naturata";"San Giorgio Piacentino, Italien";445,970517784924;1;"Zwischenhaendler";142,914375788986;588,88489357391;8;NA;17,625;16,5;17,0625
"Tomatenmark NATURATA";"Tomatenmark";"Sonstiges";"12";"Naturata";"San Giorgio Piacentino, Italien";445,970517784924;1;"Zwischenhaendler";142,914375788986;588,88489357391;8;NA;17,625;16,5;17,0625
"Vollrohrohrzucker";"Rohrohrzucker";"Sonstiges";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;1;NA;NA;NA;NA
"Waschpulver";"Waschmittel Pulver";"Putzequipment";"10";"Sonett";NA;0;NA;"Produzent";115,894966853525;115,894966853525;3;NA;10;7,32133333333333;8,66066666666667
"Zuckerrübensirup";"Zuckerrübensirup";"Sonstiges";"5";"Naturata";"Uelzen, Deutschland";458,674439555324;1;"Zwischenhaendler";142,914375788986;601,58881534431;2;NA;NA;6,088;6,088
"Essig Weisswein";"Weißweinessig";"Öl und Essig";"5";"Kaiserstühler Hof";NA;NA;NA;NA;NA;NA;1;NA;NA;20;20
"Essig Rotwein";"Rotweinessig";"Öl und Essig";"5";"Kaiserstühler Hof";NA;NA;NA;NA;NA;NA;1;NA;NA;20;20
"Sonnenblumenöl, EU ";"Sonnenblumenöl hocherhitzbar";"Öl und Essig";"10";"OBEG";"Nord Baden-Württemberg";88,0573811302204;3;"Zwischenhaendler";212,62569395508;300,6830750853;8;2,5;NA;9,106;9,106
"Reis Basmati";"Basmati Weiß";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;6,25;11,982;25;18,491
"Reis Risotto Weiß";"Risottoreis";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;13,31;10;11,655
"Senfsaat Gelb";"Senfkörner";"Gewürze";"1";"Sahana-Eliya e.V";"Nepal";6738,12305384406;2;"Zwischenhaendler";6,25755619582711;6744,38061003989;8;NA;0,251625;0,267;0,2593125
"Waldhonig";"Honig";"Sonstiges";"10";"Stefan";NA;0;NA;"Erzeuger";9,67804967252907;9,67804967252907;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444
"Arborio Reis";"Rundkornreis";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;4,16666666666667;4,6185;13,9746666666667;9,29658333333333
"Back-/Bratöl, EU";"Bratöl";"Öl und Essig";"10";"Naturata";"Italien";826,114189793074;2;"Zwischenhaendler";142,914375788986;969,02856558206;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825
"Back-/Bratöl, EU";"Bratöl";"Öl und Essig";"10";"Naturata";"Slovenien";531,814392729045;2;"Zwischenhaendler";142,914375788986;674,728768518031;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825
"Back-/Bratöl, EU";"Bratöl";"Öl und Essig";"10";"Naturata";"Rumänien";1229,38699728249;2;"Zwischenhaendler";142,914375788986;1372,30137307148;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825
"Basmati Braun";"Langkornreis Natur";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;10;2,5;9,887;9,0202;9,4536
"Bockshornklee Ganz";"Bockshornklee Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;0,25;0,25;0,25
"brauner Basmati";"Langkornreis Natur";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;10;2,5;9,887;9,0202;9,4536
"Buchweizen";"Buchweizen";"Grundnahrungsmittel";"25";"OBEG";"Deutschland";205,22785085992;2;"Zwischenhaendler";212,62569395508;417,853544815;2;12,5;23,74;27,527;25,6335
"Chilli Gemahlen";"Chilli Gemahlen";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;0,23925;0,35625;0,29775
"Erdnussmus";"Erdnussmus";"Aufstriche";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;2,33;3,6415;2,98575
"Goldhirse";"Hirse Gold";"Grundnahrungsmittel";"25";"OBEG";"Ukraine";1555,40832745554;2;"Zwischenhaendler";212,62569395508;1768,03402141062;8;3,54125;9,2375;2,92125;6,079375
"Goldhirse Neu";"Hirse Gold";"Grundnahrungsmittel";"25";"OBEG";"Ukraine";1555,40832745554;2;"Zwischenhaendler";212,62569395508;1768,03402141062;8;3,54125;9,2375;2,92125;6,079375
"Hirse Braun";"Hirse Braun";"Grundnahrungsmittel";"25";"OBEG";"Deutschland";205,22785085992;2;"Zwischenhaendler";212,62569395508;417,853544815;3;8,386;8,484;NA;8,484
"Ingwer Gemahlen";"Ingwer Gemahlen";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;1,033;NA;1,033
"Kardamom Ganz";"Kardamom Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;0,503;NA;0,503
"Koriander Ganz";"Koriander Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;0,5;0,692;0,596
"Koriander Gemahlen";"Koriander Gemahlen";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;0,5095;0,89;0,69975
"Kreuzkümmel Ganz";"Kreuzkümmel Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;0,5;0,5;0,5
"Kreuzkümmel Gemahlen";"Kreuzkümmel Gemahlen";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;0,5;0,57;0,535
"Kümmel";"Kümmel";"Gewürze";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;2,4475;NA;2,4475
"Kürbiskerne";"Kürbiskerne";"Ölsaaten und Nüsse";"25";"Schnells Kürbiskerne";NA;NA;NA;NA;NA;NA;2;NA;12,5;26,8185;19,65925
"Kurkuma Gemahlen";"Kurkuma Gemahlen";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;0,278;0,375;0,3265
"Langkornreis Natur";"Langkornreis Natur";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;10;2,5;9,887;9,0202;9,4536
"Mandelmus";"Mandelmus";"Aufstriche";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;4,664;3,532;4,098
"Olivenöl";"Olivenöl";"Öl und Essig";"5";"Naturata";"Kreta";1984,74189002833;2;"Zwischenhaendler";142,914375788986;2127,65626581732;2;21,25;32,685;80,504;56,5945
"Penne semoltano";"Nudeln vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;1,875;15,438125;10,0325;12,7353125
"Pfeffer Schwarz Ganz";"Pfeffer Schwarz Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;0,333333333333333;0,333333333333333;0,484;0,408666666666667
"Polenta";"Polenta";"Grundnahrungsmittel";"25";"Biohof Lex";NA;0;NA;"Erzeuger";306,955484551127;306,955484551127;2;12,8;13,042;0,603;6,8225
"Rapsöl";"Rapsöl";"Öl und Essig";"10";"Naturata";"Ungarn";789,35436831825;2;"Zwischenhaendler";142,914375788986;932,268744107236;2;NA;25;NA;25
"Rohrohrzucker";"Zucker";"Sonstiges";"25";"Naturata";"Deutschland";263,632849398416;2;"Zwischenhaendler";142,914375788986;406,547225187402;6;4,16666666666667;12,5;9,742;11,121
"Rosinen";"Sultaninen";"Trockenfrüchte";"12.5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;2,143;6,25;12,5585;9,40425
"Rote Linsen";"Linsen Rot";"Grundnahrungsmittel";"25";"dryfruit";NA;NA;NA;NA;NA;NA;5;5;14,9892;14,776;14,8826
"Rote Linsen Neu";"Linsen Rot";"Grundnahrungsmittel";"25";"dryfruit";NA;NA;NA;NA;NA;NA;5;5;14,9892;14,776;14,8826
"Rübenzucker";"Zucker";"Sonstiges";"25";"Naturata";"Deutschland";263,632849398416;2;"Zwischenhaendler";142,914375788986;406,547225187402;6;4,16666666666667;12,5;9,742;11,121
"Rübenzucker Sack";"Zucker";"Sonstiges";"25";"Naturata";"Deutschland";263,632849398416;2;"Zwischenhaendler";142,914375788986;406,547225187402;6;4,16666666666667;12,5;9,742;11,121
"Rundkornreis";"Rundkornreis";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;4,16666666666667;4,6185;13,9746666666667;9,29658333333333
"Salz";"Salz";"Gewürze";"25";"Naturata";"Portugal";1745,68119246602;2;"Zwischenhaendler";142,914375788986;1888,59556825501;2;NA;12,5;12,5;12,5
"Samba";"Samba";"Aufstriche";"8";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;1,33333333333333;6,5225;2,66666666666667;4,59458333333333
"Samba – Schokoaufstrich";"Samba";"Aufstriche";"8";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;1,33333333333333;6,5225;2,66666666666667;4,59458333333333
"Senfkörner";"Senfkörner";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;NA;0,251625;0,267;0,2593125
"Senfkörner Ganz";"Senfkörner";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;NA;0,251625;0,267;0,2593125
"Senfkörner Neu";"Senfkörner";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;NA;0,251625;0,267;0,2593125
"Sesam";"Sesam";"Ölsaaten und Nüsse";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;4,21666666666667;4,3985;9,16666666666667;6,78258333333333
"Sonnenblumenöl";"Bratöl";"Öl und Essig";"10";"Naturata";"Italien";826,114189793074;2;"Zwischenhaendler";142,914375788986;969,02856558206;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825
"Sonnenblumenöl";"Bratöl";"Öl und Essig";"10";"Naturata";"Slovenien";531,814392729045;2;"Zwischenhaendler";142,914375788986;674,728768518031;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825
"Sonnenblumenöl";"Bratöl";"Öl und Essig";"10";"Naturata";"Rumänien";1229,38699728249;2;"Zwischenhaendler";142,914375788986;1372,30137307148;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825
"Sonnenblumenöl, EU";"Bratöl";"Öl und Essig";"10";"Naturata";"Italien";826,114189793074;2;"Zwischenhaendler";142,914375788986;969,02856558206;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825
"Sonnenblumenöl, EU";"Bratöl";"Öl und Essig";"10";"Naturata";"Slovenien";531,814392729045;2;"Zwischenhaendler";142,914375788986;674,728768518031;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825
"Sonnenblumenöl, EU";"Bratöl";"Öl und Essig";"10";"Naturata";"Rumänien";1229,38699728249;2;"Zwischenhaendler";142,914375788986;1372,30137307148;12;1,66666666666667;5,15883333333333;0,0176666666666667;2,58825
"Spaghetti";"Spaghetti vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;3,75;16,66;2,8235;9,74175
"Spaghetti semoltano";"Spaghetti vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;3,75;16,66;2,8235;9,74175
"Spirelli";"Nudeln vom Grosshandel";"Grundnahrungsmittel";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;8;1,875;15,438125;10,0325;12,7353125
"Tomatenmark";"Tomatenmark";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;8;NA;17,625;16,5;17,0625
"Tomaten Mark";"Tomatenmark";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;8;NA;17,625;16,5;17,0625
"Tomatenpassata";"Tomatenpassata";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;6;NA;34;22;28
"Tomaten Passata";"Tomatenpassata";"Sonstiges";"12";"OBEG";"Italien";855,694055034801;3;"Zwischenhaendler";212,62569395508;1068,31974898988;6;NA;34;22;28
"Weinbeeren";"Sultaninen";"Trockenfrüchte";"12.5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;6;2,143;6,25;12,5585;9,40425
"Zimt Ganz";"Zimt Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;0,5;0,6745;0,58725
"Zimt Gemahlen";"Zimt Gemahlen";"Gewürze";"1";"OBEG";"Indien";6787,92000583096;3;"Zwischenhaendler";212,62569395508;7000,54569978604;2;NA;1,5;0,7525;1,12625
"Ahornsirup";"Ahornsirup";"Sonstiges";"5";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;2;NA;2;6,1535;4,07675
"Best Cashew Feb 2017";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
"Bier Fur Simon";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
"Bier Simon";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
"Bockshornklee";"Bockshornklee Ganz";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;0,25;0,25;0,25
"Chilli";"Chilli Gemahlen";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;0,23925;0,35625;0,29775
"Erdmussmus";"Erdnussmus";"Aufstriche";"10";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;2,33;3,6415;2,98575
"Falschbuchung Hanfkoerner";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
"Hirse Gold";"Hirse Gold";"Grundnahrungsmittel";"25";"OBEG";"Ukraine";1555,40832745554;2;"Zwischenhaendler";212,62569395508;1768,03402141062;8;3,54125;9,2375;2,92125;6,079375
"Hirse gold";"Hirse Gold";"Grundnahrungsmittel";"25";"OBEG";"Ukraine";1555,40832745554;2;"Zwischenhaendler";212,62569395508;1768,03402141062;8;3,54125;9,2375;2,92125;6,079375
"Honig Frühjahrsblüte Glas";"Honig";"Sonstiges";"10";"Erik";NA;0;NA;"Erzeuger";3,56355402577734;3,56355402577734;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444
"Honig Schwarzwald Glas";"Honig";"Sonstiges";"10";"Erik";NA;0;NA;"Erzeuger";3,56355402577734;3,56355402577734;9;3,11111111111111;1,55555555555556;2,76133333333333;2,15844444444444
"Korrektur Hanfsamen";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
"Kurkuma";"Kurkuma Gemahlen";"Gewürze";"1";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;4;NA;0,278;0,375;0,3265
"Langkornreis";"Langkornreis Natur";"Grundnahrungsmittel";"25";"Bode";"";NA;NA;"Zwischenhaendler";632,709044085065;NA;10;2,5;9,887;9,0202;9,4536
"Linsen Aa";"NI";"NI";"0";"NI";NA;NA;NA;NA;NA;NA;14;NA;NA;1,69085714285714;1,69085714285714
